Asset group asset details report
17 January 2025 - 17 February 2025
Asset status,Asset,Level,Status,Asset type,Last updated,Conversions,Conv. value,Impr.,Clicks,Currency code,Cost,Added by
Enabled,Say ‘I Choose You’ with a romantic exclusive Pokémon card!,Asset group,Not eligible,Description,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/7133271747087987014,Asset group,Not eligible,Square image,"15 Jan 2025, 22:19",0.00,0.00,15,0,AUD,1.17,Advertiser
Enabled,"Read The FAQs
Frequently Answered Questions
Commonly asked questions answered
https://pokemyhe.art/pages/faq",Campaign,Not eligible,Sitelink,"15 Jan 2025, 22:19",10.60,716.07,863,107,AUD,230.08,Advertiser
Enabled,Unique Romantic Gifts,Asset group,Not eligible,Headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,Unique and heartfelt way to express yourself,Asset group,Unknown,Long headline,"18 Feb 2025, 21:43",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,The Perfect Romantic Gift for Pokémon Lovers!,Asset group,Not eligible,Long headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://www.youtube.com/watch?v=yFCamtcCOHg,Asset group,Not eligible,Vertical YouTube video,"29 Jan 2025, 10:43",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Romance meets nostalgia with limited-edition Pokémon-inspired love cards!,Asset group,Not eligible,Description,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,"Buy Now
Limited stock left
Order NOW
https://pokemyhe.art/products/i-choose-you-the-ultimate-romantic-gift?variant=51026517754172",Campaign,Not eligible,Sitelink,"16 Jan 2025, 01:33",6.00,404.15,441,65,AUD,174.63,Advertiser
Enabled,Exclusive Romantic Love Edition Trading Card,Asset group,Unknown,Long headline,"18 Feb 2025, 21:43",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Poke Romantic Love Cards,Asset group,Not eligible,Headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,One-of-a-Kind Romantic Gift,Asset group,Not eligible,Headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/1816975728621699040,Asset group,Not eligible,Vertical image,"15 Jan 2025, 22:19",0.00,0.00,112,3,AUD,1.75,Advertiser
Enabled,Buy a Romantic Gift,Asset group,Unknown,Headline,"20 Feb 2025, 12:40",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Say ‘I Choose You’ with a Unique Romantic Pokémon Card—Shop Now!,Asset group,Not eligible,Long headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/4986315841759516304,Asset group,Not eligible,Horizontal image,"15 Jan 2025, 23:29",0.00,0.00,119,2,AUD,0.95,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/987265813471612863,Asset group,Not eligible,Square image,"15 Jan 2025, 22:19",8.50,539.56,477,83,AUD,138.37,Advertiser
Enabled,Pokemon Gift for Him,Asset group,Not eligible,Headline,"18 Feb 2025, 18:58",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/12832423805324805182,Asset group,Not eligible,Horizontal image,"23 Jan 2025, 05:17",0.00,0.00,48,0,AUD,0.00,Advertiser
Enabled,https://www.youtube.com/watch?v=ShOimbofW8A,Asset group,Not eligible,Vertical YouTube video,"16 Jan 2025, 01:32",20.13,"1,238.83","279,527","2,293",AUD,1329.06,Advertiser
Enabled,Say ‘I Choose You’,Asset group,Not eligible,Headline,"15 Jan 2025, 23:29",0.10,8.85,274,16,AUD,36.29,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/12663699624910615382,Asset group,Not eligible,Vertical image,"15 Jan 2025, 22:19",0.00,0.00,9,0,AUD,0.95,Advertiser
Enabled,https://www.youtube.com/watch?v=Rn0pcVxDBOA,Asset group,Not eligible,Vertical YouTube video,"29 Jan 2025, 15:25",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Exclusive Romantic Card,Asset group,Not eligible,Headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,Limited Edition Pokemon Love,Asset group,Not eligible,Headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/1328696847208714531,Asset group,Not eligible,Square image,"15 Jan 2025, 22:19",0.00,0.00,98,0,AUD,0.19,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/6411592185977050879,Asset group,Not eligible,Square image,"15 Jan 2025, 22:30",2.00,112.96,106,15,AUD,19.76,Advertiser
Enabled,Celebrate your love,Asset group,Unknown,Headline,"15 Jan 2025, 22:19",0.00,0.00,48,3,AUD,4.87,Google AI
Enabled,https://tpc.googlesyndication.com/simgad/8991872614892721837,Asset group,Not eligible,Square image,"23 Jan 2025, 05:17",0.00,0.00,68,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/712341359638010778,Asset group,Not eligible,Horizontal image,"15 Jan 2025, 23:29",0.00,0.00,117,0,AUD,0.00,Advertiser
Enabled,"Buy Now
Limited stock - get yours now!
Selling fast!
https://pokemyhe.art/products/i-choose-you-the-ultimate-romantic-gift?variant=51026517754172",Campaign,Not eligible,Sitelink,"15 Jan 2025, 22:19",5.10,344.54,439,48,AUD,83.70,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/15277419893637046613,Asset group,Not eligible,Vertical image,"15 Jan 2025, 22:30",0.00,0.00,273,6,AUD,1.90,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/16666592489660054091,Asset group,Not eligible,Square image,"15 Jan 2025, 22:19",0.00,0.00,28,0,AUD,0.00,Advertiser
Enabled,Romantic Poke-style Cards!,Asset group,Not eligible,Headline,"17 Jan 2025, 15:09",0.00,0.00,97,2,AUD,0.41,Advertiser
Enabled,Pokémyheart,Campaign,Not eligible,Business name,"23 Oct 2025, 19:03",0.00,0.00,"1,213",19,AUD,6.11,Advertiser
Enabled,https://www.youtube.com/watch?v=diJKQuyJXZM,Asset group,Not eligible,Vertical YouTube video,"29 Jan 2025, 10:43",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Celebrate Love & Nostalgia with Our Pokémon Love Cards – Shop Now!,Asset group,Not eligible,Long headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/412043854201729909,Asset group,Not eligible,Vertical image,"15 Jan 2025, 22:19",0.00,0.00,102,4,AUD,1.38,Advertiser
Enabled,https://www.youtube.com/watch?v=vKm1YjTXJVk,Asset group,Not eligible,Vertical YouTube video,"16 Jan 2025, 01:32",3.00,197.33,"38,567",252,AUD,265.99,Advertiser
Enabled,Celebrate your love with a limited edition gift card,Asset group,Unknown,Long headline,"18 Feb 2025, 21:43",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Surprise Your Love with a Pokémon-Inspired Trading Card They’ll Treasure Forever!,Asset group,Not eligible,Long headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,Celebrate Your Love With This Exclusive Romantic Love Edition Trading Card,Asset group,Unknown,Description,"20 Feb 2025, 12:40",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,"Perfect for gamers, collectors, and Pokémon fans—order NOW!",Asset group,Not eligible,Description,"15 Jan 2025, 23:29",10.00,700.13,"103,345",800,AUD,552.32,Advertiser
Enabled,https://www.youtube.com/watch?v=muDm0rI1kag,Asset group,Not eligible,Vertical YouTube video,"16 Jan 2025, 01:32",0.00,0.00,"8,237",71,AUD,50.13,Advertiser
Enabled,https://www.youtube.com/watch?v=Atq4-ASPkWc,Asset group,Not eligible,Vertical YouTube video,"16 Jan 2025, 01:32",3.00,233.90,"94,096",716,AUD,392.35,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/4645525745104809527,Asset group,Not eligible,Square image,"23 Jan 2025, 05:17",0.00,0.00,55,0,AUD,0.00,Advertiser
Enabled,Perfect Gift for Gamers,Asset group,Not eligible,Headline,"15 Jan 2025, 23:29",0.00,0.00,43,3,AUD,10.08,Advertiser
Enabled,https://www.youtube.com/watch?v=7C9rfIKwfao,Asset group,Not eligible,Vertical YouTube video,"29 Jan 2025, 14:57",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Limited Edition Gamer Gift,Asset group,Not eligible,Headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,https://www.youtube.com/watch?v=nAXEhm9TVQ0,Asset group,Not eligible,Vertical YouTube video,"29 Jan 2025, 10:43",0.00,0.00,0,0,AUD,0.00,Google AI
Enabled,Pokemon Anniversary Gift,Asset group,Not eligible,Headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
Enabled,Romantic Gamer Collectible,Asset group,Not eligible,Headline,"15 Jan 2025, 22:19",0.00,0.00,18,1,AUD,1.78,Advertiser
Enabled,Limited edition,Asset group,Unknown,Headline,"20 Feb 2025, 12:40",0.00,0.00,172,0,AUD,0.00,Google AI
Enabled,Say ‘I Choose You’ Today!,Asset group,Not eligible,Headline,"15 Jan 2025, 23:29",0.00,0.00,219,4,AUD,9.34,Advertiser
Enabled,https://tpc.googlesyndication.com/simgad/8311376117935744459,Asset group,Not eligible,Vertical image,"15 Jan 2025, 22:19",0.00,0.00,99,4,AUD,0.58,Advertiser
Enabled,Limited Edition Valentine’s Cards—Perfect for Fans of Pokémon & Nostalgia!,Asset group,Not eligible,Long headline,"15 Jan 2025, 23:29",6.50,387.21,"104,082",799,AUD,511.83,Advertiser
Enabled,Pokemon Gift for Boyfriend,Asset group,Not eligible,Headline,"18 Feb 2025, 18:57",0.00,0.00,0,0,AUD,0.00,Advertiser
